dataset,arch,run,seed,defense,defense_sigma,test_loss,test_acc,attack_auc,attack_ap,attack_f1
mutag,gcn,0,114918,logit_noise,0.5,0.6439844369888306,0.6488095238095238,0.4722222222222222,0.6,0.6666666666662222
mutag,gcn,1,114919,logit_noise,0.5,0.6443977355957031,0.6488095238095238,0.08333333333333333,0.3865079365079365,0.6666666666662222
mutag,gcn,2,114920,logit_noise,0.5,0.6436740756034851,0.6488095238095238,0.38888888888888884,0.48333333333333334,0.6666666666662222
mutag,gcn,3,114921,logit_noise,0.5,0.6062541007995605,0.6726190476190477,0.5833333333333334,0.6277777777777778,0.6666666666662222
mutag,gcn,4,114922,logit_noise,0.5,0.645460307598114,0.6488095238095238,0.2361111111111111,0.42083333333333334,0.6666666666662222
mutag,gcn,5,114923,logit_noise,0.5,0.6423808932304382,0.6488095238095238,0.5833333333333334,0.5694444444444444,0.6666666666662222
mutag,gcn,6,114924,logit_noise,0.5,0.6487237811088562,0.6488095238095238,0.6388888888888888,0.5930555555555556,0.79999999999952
mutag,gcn,7,114925,logit_noise,0.5,0.6447850465774536,0.6488095238095238,0.4722222222222222,0.5007936507936508,0.6666666666662222
mutag,gcn,8,114926,logit_noise,0.5,0.6090461015701294,0.6607142857142857,0.5555555555555556,0.5656084656084657,0.6666666666662222
mutag,gcn,9,114927,logit_noise,0.5,0.6440985798835754,0.6488095238095238,0.49999999999999994,0.6277777777777778,0.6666666666662222
mutag,gat,0,125385,logit_noise,0.5,0.6263949275016785,0.6488095238095238,0.6111111111111112,0.5771825396825396,0.79999999999952
mutag,gat,1,125386,logit_noise,0.5,0.6296650171279907,0.6488095238095238,0.75,0.810515873015873,0.79999999999952
mutag,gat,2,125387,logit_noise,0.5,0.6252656579017639,0.6488095238095238,0.5,0.51005291005291,0.7499999999995312
mutag,gat,3,125388,logit_noise,0.5,0.6320660710334778,0.6488095238095238,0.7222222222222223,0.7291666666666666,0.79999999999952
mutag,gat,4,125389,logit_noise,0.5,0.6157541275024414,0.6488095238095238,0.5833333333333334,0.5660714285714286,0.7499999999995312
mutag,gat,5,125390,logit_noise,0.5,0.6346811056137085,0.6488095238095238,0.7222222222222223,0.794047619047619,0.7692307692302721
mutag,gat,6,125391,logit_noise,0.5,0.6247897744178772,0.6488095238095238,0.6111111111111112,0.7702020202020202,0.6666666666662222
mutag,gat,7,125392,logit_noise,0.5,0.6267584562301636,0.6488095238095238,0.4444444444444445,0.48624338624338626,0.7499999999995312
mutag,gat,8,125393,logit_noise,0.5,0.6197512149810791,0.6488095238095238,0.5555555555555556,0.6878306878306878,0.6666666666662222
mutag,gat,9,125394,logit_noise,0.5,0.6251431107521057,0.6488095238095238,0.7777777777777778,0.8069444444444444,0.79999999999952
mutag,graphsage,0,218756,logit_noise,0.5,0.634933590888977,0.6488095238095238,0.45833333333333337,0.6455026455026455,0.6666666666662222
mutag,graphsage,1,218757,logit_noise,0.5,0.5811774134635925,0.7083333333333334,0.3472222222222222,0.5069444444444444,0.6666666666662222
mutag,graphsage,2,218758,logit_noise,0.5,0.6073794364929199,0.6785714285714286,0.5277777777777777,0.6396825396825396,0.6666666666662222
mutag,graphsage,3,218759,logit_noise,0.5,0.6419251561164856,0.6488095238095238,0.5694444444444445,0.549404761904762,0.7142857142852245
mutag,graphsage,4,218760,logit_noise,0.5,0.580322802066803,0.7083333333333334,0.2222222222222222,0.4416666666666667,0.6666666666662222
mutag,graphsage,5,218761,logit_noise,0.5,0.5817446708679199,0.7083333333333334,0.5416666666666667,0.6277777777777778,0.6666666666662222
mutag,graphsage,6,218762,logit_noise,0.5,0.5772714018821716,0.7083333333333334,0.4444444444444444,0.5166666666666667,0.6666666666662222
mutag,graphsage,7,218763,logit_noise,0.5,0.6116417050361633,0.6726190476190477,0.45833333333333337,0.6455026455026455,0.6666666666662222
