dataset,arch,run,seed,defense,defense_sigma,test_loss,test_acc,attack_auc,attack_ap,attack_f1
mutag,gcn,0,570657,logit_noise,2.0,0.6435361504554749,0.6488095238095238,0.24999999999999997,0.5476190476190477,0.6666666666662222
mutag,gcn,1,570658,logit_noise,2.0,0.6204017996788025,0.6428571428571429,0.5555555555555556,0.6666666666666666,0.6666666666662222
mutag,gcn,2,570659,logit_noise,2.0,0.6452058553695679,0.6488095238095238,0.3611111111111111,0.4416666666666667,0.6666666666662222
mutag,gcn,3,570660,logit_noise,2.0,0.6345850825309753,0.6488095238095238,0.8055555555555556,0.8333333333333333,0.79999999999952
mutag,gcn,4,570661,logit_noise,2.0,0.6117714047431946,0.6488095238095238,0.6111111111111112,0.6277777777777778,0.6666666666662222
mutag,gcn,5,570662,logit_noise,2.0,0.5991784930229187,0.6726190476190477,0.5833333333333334,0.6646825396825397,0.6666666666662222
mutag,gcn,6,570663,logit_noise,2.0,0.6094880104064941,0.6607142857142857,0.4305555555555556,0.48333333333333334,0.6666666666662222
mutag,gcn,7,570664,logit_noise,2.0,0.6196262836456299,0.6488095238095238,0.5833333333333335,0.6620370370370371,0.6666666666662222
mutag,gcn,8,570665,logit_noise,2.0,0.6292226314544678,0.6488095238095238,0.3888888888888889,0.4722222222222222,0.6666666666662222
mutag,gcn,9,570666,logit_noise,2.0,0.604884922504425,0.6607142857142857,0.45833333333333337,0.5,0.6666666666662222
mutag,gat,0,911551,logit_noise,2.0,0.6244357824325562,0.6488095238095238,0.6111111111111112,0.7202380952380951,0.6666666666662222
mutag,gat,1,911552,logit_noise,2.0,0.619144082069397,0.6488095238095238,0.7222222222222223,0.7468253968253968,0.7692307692302721
mutag,gat,2,911553,logit_noise,2.0,0.6131203770637512,0.6488095238095238,0.4444444444444444,0.5277777777777778,0.6666666666662222
mutag,gat,3,911554,logit_noise,2.0,0.6232997179031372,0.6488095238095238,0.29166666666666663,0.4625,0.6666666666662222
mutag,gat,4,911555,logit_noise,2.0,0.6188170909881592,0.6488095238095238,0.4444444444444444,0.5166666666666666,0.6666666666662222
mutag,gat,5,911556,logit_noise,2.0,0.6185591816902161,0.6488095238095238,0.6666666666666667,0.7361111111111112,0.6666666666662222
mutag,gat,6,911557,logit_noise,2.0,0.621009111404419,0.6488095238095238,0.4722222222222222,0.5444444444444444,0.6666666666662222
mutag,gat,7,911558,logit_noise,2.0,0.6205698847770691,0.6488095238095238,0.7222222222222222,0.7027777777777777,0.7272727272722312
mutag,gat,8,911559,logit_noise,2.0,0.6353946924209595,0.6488095238095238,0.7083333333333334,0.75,0.6666666666662222
