,,,,test_acc,test_acc,attack_auc,attack_auc,attack_ap,attack_ap,attack_f1,attack_f1
,,,,mean,std,mean,std,mean,std,mean,std
dataset,arch,defense,defense_sigma,,,,,,,,
molhiv,gat,logit_noise,1.0,0.8135593220338982,0.0,0.5775510204081632,0.08924278203323878,0.6333099440242297,0.08489622039230592,0.7150956937794384,0.03653463610768816
molhiv,gcn,logit_noise,1.0,0.8135593220338982,0.0,0.5051020408163265,0.1429583379841327,0.5770799835085549,0.12903417372146248,0.7071717171712562,0.04179751925315715
molhiv,graphsage,logit_noise,1.0,0.8135593220338982,0.0,0.5081632653061224,0.16758735012600032,0.5969850784136498,0.14101200009669518,0.6942724458199765,0.04438538384823945
mutag,gat,logit_noise,1.0,0.6488095238095238,0.0,0.6319444444444444,0.10274231954246364,0.6826623376623376,0.10518386559478901,0.7184453781507942,0.05940694666844189
mutag,gcn,logit_noise,1.0,0.6547619047619048,0.00841793787126842,0.41944444444444445,0.21132623866789452,0.5452212602212602,0.14801043326445026,0.6880952380947836,0.05318052561188846
mutag,graphsage,logit_noise,1.0,0.6863095238095238,0.010517744667221078,0.4625,0.17654010724201055,0.532420634920635,0.10502796268559234,0.6769230769226272,0.03243361702735135
proteins,gat,logit_noise,1.0,0.8237226277372262,0.0034623478031040704,0.6006666666666666,0.09990420651859326,0.6359273568023737,0.08664334557064379,0.705294086715428,0.039485780602362644
proteins,gcn,logit_noise,1.0,0.5788321167883212,0.2692233627146454,0.4966666666666667,0.13069929046000586,0.5426923729864906,0.09059197132580199,0.6733333333328833,0.02108185106777161
proteins,graphsage,logit_noise,1.0,0.7281021897810219,0.1405333294443793,0.5286666666666667,0.08078795765155175,0.5744764864764865,0.05765023070621518,0.6709677419350338,0.013601194237265898
